subject_code,subject_name,parent_code,parent_name,level,root_code,segment_count,is_leaf,path_codes
1103.H2.98.112411059 IB,24平安银行CD059,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112411059 IB""]"
1103.H2.98.112411073 IB,24平安银行CD073,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112411073 IB""]"
1103.H2.98.112411074 IB,24平安银行CD074,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112411074 IB""]"
1103.H2.98.112415252 IB,24民生银行CD252,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112415252 IB""]"
1103.H2.98.112417058 IB,24光大银行CD058,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112417058 IB""]"
1103.H2.98.112417142 IB,24光大银行CD142,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112417142 IB""]"
1103.H2.98.112418098 IB,24华夏银行CD098,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112418098 IB""]"
1103.H2.98.112418154 IB,24华夏银行CD154,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112418154 IB""]"
1103.H2.98.112418166 IB,24华夏银行CD166,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112418166 IB""]"
1103.H2.98.112418189 IB,24华夏银行CD189,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112418189 IB""]"
1103.H2.98.112420149 IB,24广发银行CD149,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112420149 IB""]"
1108,其他交易性金融资产投资,,,1,1108,1,false,"[""1108""]"
1108.01,场外_信托,1108,其他交易性金融资产投资,2,1108,2,false,"[""1108"",""1108.01""]"
