DJ0233大家资产厚坤36号集合资产管理产品委托资产估值表20230321,,,,,,,,,,,,,
,,,,,,,,,,,,,
大家资产管理有限公司_大家资产厚坤36号集合资产管理产品_专用表,,,,,,,,,,,,,
日期：2023-03-21,,,,,,,单位净值：1.1029,,,,,,
科目代码,科目名称,币种,汇率,数量,单位成本,成本,成本占比,行情,市值,市值占比,估值增值,停牌信息,权益信息
,,,,,,本币,,,本币,,本币,,
,,,,,,十亿千百十万千百十元角分,,,十亿千百十万千百十元角分,,十亿千百十万千百十元角分,,
2207.01,应付佣金_席位使用费,CNY,1,,,330.12,0.0000%,,330.12,0.0000%,,,
2207.01.01,上交所,CNY,1,,,330.12,0.0000%,,330.12,0.0000%,,,
2207.01.01.37855,中信证券,CNY,1,,,294.33,0.0000%,,294.33,0.0000%,,,
2207.01.01.48793,安信证券,CNY,1,,,35.79,0.0000%,,35.79,0.0000%,,,
2241,其他应付款,CNY,,,,"15,367.78",0.0002%,,"15,367.78",0.0002%,,,
2241.01,应付银行间交易费用,CNY,1,,,"15,367.78",0.0002%,,"15,367.78",0.0002%,,,
2241.01.01,中债登手续费,CNY,1,,,"11,077.78",0.0001%,,"11,077.78",0.0001%,,,
2241.01.01.02,交易手续费_债券,CNY,1,,,"5,100.00",0.0001%,,"5,100.00",0.0001%,,,
2241.01.01.03,结算服务费_回购,CNY,1,,,"1,040.00",0.0000%,,"1,040.00",0.0000%,,,
2241.01.01.04,交易手续费_回购,CNY,1,,,"4,937.78",0.0001%,,"4,937.78",0.0001%,,,
2241.01.02,上清所手续费,CNY,1,,,"4,290.00",0.0000%,,"4,290.00",0.0000%,,,
2241.01.02.02,上清所结算服务费,CNY,1,,,"2,250.00",0.0000%,,"2,250.00",0.0000%,,,
2241.01.02.03,上清所结算服务费_回购,CNY,1,,,"2,040.00",0.0000%,,"2,040.00",0.0000%,,,
,,,,,,,,,,,,,
